,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1160,1174,pain &amp; gain,1,6,14,45
1161,1175,death race,1,11,6,42
1162,1176,the school for good and evil,1,0,15,47
1163,1177,serbuan maut,1,14,6,1
1164,1178,real steel,1,0,11,285
1165,1179,romancing the stone,1,5,3,4
1166,1180,insurgent,1,5,11,18
1167,1181,megamind,3,1,3,62
1168,1182,inferno,1,5,14,257
1169,1183,jack ryan: shadow recruit,1,0,6,88
1170,1184,ava,1,0,6,88
1171,1185,gekijouban jujutsu kaisen 0,3,1,15,55
1172,1186,dick tracy,1,6,14,45
1173,1187,hit,1,14,0,269
1174,1188,the last starfighter,1,5,11,18
1175,1189,the wild bunch,1,5,10,326
1176,1191,the silencing,1,14,9,148
1177,1192,the fate of the furious,1,14,6,1
1178,1193,elysium,1,0,11,285
1179,1194,the guest,1,10,6,322
1180,1195,dirty harry,1,14,6,1
1181,1196,rango,3,1,5,5
1182,1197,eraser,1,14,6,1
1183,1198,kung fu panda 3,3,1,5,5
1184,1199,riddick,1,5,11,18
1185,1200,kick-ass 2,1,6,14,45
1186,1201,a day to die,1,14,0,269
1187,1202,bad boys,1,6,14,45
1188,1203,war for the planet of the apes,1,5,0,260
1189,1204,jumper,1,5,11,18
1190,1205,the league of extraordinary gentlemen,1,5,15,275
1191,1206,air force one,1,0,6,88
1192,1207,the rocketeer,1,5,17,51
1193,1208,the twilight saga: eclipse,1,5,0,260
1194,1209,sin city: a dame to kill for,1,14,6,1
1195,1210,the bodyguard,1,0,1,306
1196,1211,gone in sixty seconds,1,14,6,1
1197,1212,forsaken,1,0,10,185
1198,1213,manyeo,1,10,11,134
1199,1214,rambo: first blood part ii,1,5,6,262
1200,1215,those who wish me dead,1,0,6,88
1201,1216,predators,1,5,11,18
1202,1217,the expendables 2,1,5,6,262
1203,1218,spenser confidential,1,6,0,137
1204,1219,san andreas,1,5,6,262
1205,1220,pixels,1,6,15,105
1206,1221,u.s. marshals,1,14,6,1
1207,1222,king arthur,1,5,0,260
1208,1223,deepwater horizon,1,0,2,37
1209,1224,13 minutes,1,0,6,88
1210,1225,svart krabba,1,5,0,260
1211,1226,the quick and the dead,1,7,6,290
1212,1227,over the top,1,0,7,35
1213,1228,furious 6,1,5,14,257
1214,1229,the lego movie,3,1,5,5
1215,1230,the world is not enough,1,5,6,262
1216,1231,deep impact,1,0,11,285
1217,1232,without remorse,1,8,16,284
1218,1233,beverly hills cop ii,1,6,14,45
1219,1234,licence to kill,1,5,6,262
1220,1235,the hunger games: mockingjay - part 2,1,5,11,18
1221,1236,akira,3,1,0,280
1222,1237,the equalizer 2,1,14,6,1
1223,1238,rocknrolla,1,14,6,1
1224,1239,allegiant,1,5,9,8
1225,1240,goldfinger,1,5,6,262
1226,1241,krull,1,5,15,275
1227,1242,rambo,1,5,6,262
1228,1243,hotel mumbai,1,0,2,37
1229,1244,we can be heroes,1,6,0,137
1230,1245,bronson,1,13,14,150
1231,1246,live and let die,1,5,6,262
1232,1247,fallen,1,14,0,269
1233,1248,die another day,1,5,6,262
1234,1249,g.i. joe: retaliation,1,5,11,18
1235,1250,boss level,1,5,3,4
1236,1251,rat race,1,5,3,4
1237,1252,"i, robot",1,10,11,134
1238,1253,fast five,1,14,6,1
1239,1254,a view to a kill,1,5,6,262
1240,1255,assassin's creed,1,5,11,18
1241,1256,noah,1,5,0,260
1242,1257,bloodsport,1,13,0,112
1243,1258,peter pan &amp; wendy,1,5,3,4
1244,1259,2 fast 2 furious,1,5,14,257
1245,1260,ghost in the shell,1,14,0,269
1246,1261,retfærdighedens ryttere,1,6,0,137
1247,1262,superman returns,1,5,11,18
1248,1263,outlander,1,5,11,18
1249,1264,poseidon,1,5,6,262
1250,1265,the hunger games: mockingjay - part 1,1,5,11,18
1251,1266,flash gordon,1,5,11,18
1252,1267,contraband,1,14,0,269
1253,1268,munich,1,0,2,37
1254,1269,the island,1,11,6,42
1255,1270,attack,1,11,6,42
1256,1271,thunderball,1,5,6,262
1257,1272,dawn of the planet of the apes,1,5,0,260
1258,1273,rise of the planet of the apes,1,0,11,285
1259,1274,everest,1,5,13,180
1260,1275,adrift,1,5,13,180
1261,1276,die in a gunfight,1,6,14,45
1262,1277,friday night lights,1,0,7,35
1263,1278,now you see me 2,1,5,3,4
1264,1279,teenage mutant ninja turtles: out of the shadows,1,5,3,4
1265,1280,national treasure: book of secrets,1,5,9,8
1266,1281,the perfect storm,1,5,0,260
1267,1282,triple 9,1,14,6,1
1268,1283,alexander,1,13,0,112
1269,1284,ghosted,1,5,4,497
1270,1285,the big bird cage,1,14,0,269
1271,1286,awake,1,5,0,260
1272,1287,sahara,1,5,3,4
1273,1288,smokey and the bandit,1,5,3,4
1274,1289,demolition man,1,11,6,42
1275,1290,red sonja,1,5,15,275
1276,1291,the transporter,1,14,6,1
1277,1292,maze runner: the death cure,1,5,11,18
1278,1293,underworld: evolution,1,15,6,25
1279,1294,fool's gold,1,5,3,4
1280,1295,maverick,1,5,3,4
1281,1296,lilo &amp; stitch,1,5,3,4
1282,1297,batman v superman: dawn of justice ultimate edition,1,5,11,18
1283,1298,jolt,1,6,14,45
1284,1299,a history of violence,1,14,0,269
1285,1300,journey 2: the mysterious island,1,5,3,4
1286,1301,per un pugno di dollari,1,0,10,185
1287,1302,end of watch,1,5,14,257
1288,1303,the bourne ultimatum,1,10,6,322
1289,1304,wargames,1,0,11,285
1290,1305,chappie,1,14,0,269
1291,1306,swordfish,1,14,6,1
1292,1307,dragonball evolution,1,5,15,275
1293,1308,the three musketeers,1,5,3,4
1294,1309,transformers: revenge of the fallen,1,5,11,18
1295,1310,the a-team,1,5,6,262
1296,1311,kung fu,1,6,15,105
1297,1312,kung fu panda 2,3,1,5,5
1298,1313,prince of persia: the sands of time,1,5,15,275
1299,1314,angels &amp; demons,1,10,6,322
1300,1315,exodus: gods and kings,1,5,0,260
1301,1316,last action hero,1,5,3,4
1302,1317,hanna,1,5,0,260
1303,1318,g.i. jane,1,0,16,123
